CLSTR_ID,SAMP_NO,TYPE_CD,PSYU,PSYU_BLK,FIZ,BGC_ZONE,BGC_SBZN,BGC_VAR,BGC_PHAS,SAMP_TYP,BLOWUP,NO_PLOTS,PLOT_DED,REC_ID,IP_UTM,IP_NRTH,IP_EAST,MAP_NO,POLYGON,tp_gpsid,tp_utm,tp_nrth,tp_east,tp_elev,ap_dsc,ap_gpsid,ap_nrth,ap_east,ap_elev,tp_az_ip,tp_dt_ip,DECLIN,tp_az_pn,tp_dt_pn,tie_trno,rp_az_gp,rp_dt_gp,tp_map,ip_map,tp_poly,ip_poly,tp_fltln,ip_fltln,ip_photo,tp_photo,tp_spec,rp_spec,TP_AZ_tr,rP_AZ_tr,TP_DBH,TP_dt_tr,rp_DBH,rp_dt_tr,ip_gpsid,ip_elev,ip_az_pn,ip_dt_pn,ip_az_gp,ip_dt_gp,PLT_SPC,asc_dt,CREW1,CREW2,CREW3,CREW4,ref_tree,INTEG,NORTH,EAST,SOUTH,WEST,RANGE,ECO,CWD,TREES,ECOLGY,NO_PHOTO,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,LOAD_DT,meas_dt,TR_FLDT,TR_OFFDT,EC_FLDT,EC_OFFDT,Tr_NAME,TO_NAME,Tf_name,ER_NAME,EO_NAME,EF_NAME,pho_typ1,pho_typ2,pho_typ3,pho_typ4,pho_typ5,pho_typ6,pho_ind1,pho_ind2,pho_ind3,pho_ind4,pho_ind5,pho_ind6,notes,PROJ_ID
"0221-0061-TO1","0061","TO1","112","0","G","ICH","mw","2",,"V",12,5,5,"023",10,5586927,357001,"082L045",391,"OKI061TP",10,5587685,356627,1149,,"OKI061AP",5588518,357815,1019,152,840,19.3,0,0,9252,0,0,"082L045","082L045","00391","00402","15BCC01023","15BCC01023","66","66","PLI","PW",0,215,21.3,0,25.5,3.61,"OKI061PC",1226,0,0,0,0,50,"04/09/04 00:00:00","SRM","TJL",,,9253,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/29/02 00:00:00",,,,,"SCOTT MACKINNON",,,"TYSEN LEBLANC",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0062-TO1","0062","TO1","126","0","E","ICH","mk","1",,"V",16,5,5,"023",10,5533561,381346,"082E097",325,"OKI062TP",10,5533680,381559,1304,,"OKI062AP",5534987,382422,1400,247,246,19.5,0,0,9368,0,0,"082E097","082E097","00429","00325","15BCC01030","15BCC01030","201","201","ACT","CW",0,257,57.9,0,46.9,6.56,"OKI062PC",1327,0,0,0,0,50,"04/09/04 00:00:00","TLD","AWS",,,9369,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/30/02 00:00:00",,,,,"TIM DE GRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0063-TO1","0063","TO1","126","0","E","ICH","mk","1",,"V",12,5,5,"023",,,,"082L007",375,"OKI063TP",,,,,,"OKI063AP",,,,329,225,19.5,0,0,9310,0,0,"082L007","082L007","00514","00375","15BCC01030","15BCC01030","73","73","SX","SX",0,351,43.1,0,32,4.1,"OKI063PC",,0,0,0,0,50,"04/09/04 00:00:00","TDG","ANS",,,9309,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/24/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0064-TO1","0064","TO1","150","0","G","ICH","mw","3",,"V",7,5,5,"023",11,5645600,378972,"082L097",286,"TIEP0064",11,5645682,378867,649,,,,,,128,135,19.3,0,0,50,0,0,"082L097","082L097","00286","00286","BCC01026","BCC01026","221","221","AT","AT",0,189,25.2,0,32.8,1.96,"IPC00064",686,0,0,0,0,50,"04/09/04 00:00:00","BDK","KES",,,9218,"Y","Y","Y","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","06/20/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0065-TO1","0065","TO1","112","0","G","ICH","mw","2",,"V",12,5,5,"023",10,5623536,386933,"082L077",332,"OKI065TP",10,5623771,386241,879,,,,,,115,570,19.5,0,0,9314,0,0,"082L077","082L077","00328","00332","15BCC01026","15BCC01026","107","107","FDI","HW",275,159,12.6,7.4,19.2,0.64,"OKI065PC",828,0,0,0,0,50,"04/09/04 00:00:00","TDG","AWS",,,9315,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/26/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0066-TO1","0066","TO1","171","0","G","ICH","mw","3",,"V",9,5,5,"023",11,56084,327695,"082M003",152,"TP066",11,5660197,327657,975,,,,,,164,120,19.3,0,0,10,109,6.3,"082M003","082M003","00153","00152","BCC01025","BCC01025","184","184","FDI","FDI",0,21,60,0,57.2,2,"IPC066",939,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,9391,"Y","Y","Y","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","06/11/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","N",,,,,"0221"
"0221-0047-TO1","0047","TO1","112","0","G","ICH","mk","1",,"V",12,4,4,"023",10,5559185,369281,"082L016",127,"OKI047TP",10,5559170,369177,1427,,,,,,82,104,19.5,0,0,9334,0,0,"082L016","082L016","00130","00127","15BCC01029","15BCC01029","63","63","PLI","PLI",0,154,29.9,0,30.8,1.33,"OKI047PC",1429,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9335,"Y","Y","Y","N","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/19/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0048-TO1","0048","TO1","112","0","G","ICH","mw","2",,"V",7,5,5,"023",,,,"082L037",600,"no data",,,,,,,,,,353,465,19.3,0,0,9256,0,0,"082L037","082L037","00813","00600","15BCC01027","15BCC01027","65","65","CW","PLI",0,112,17.3,0,24.9,0.7,"no data",,0,0,0,0,50,"04/09/04 00:00:00","TJL","SRM",,,9257,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/17/02 00:00:00",,,,,"TYSEN LEBLANC",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0049-TO1","0049","TO1","112","0","G","ICH","mk","1",,"V",12,5,5,"023",10,5557530,395547,"082L018",296,"OKI049TP",10,5557158,395642,1159,,,,,,345,405,19.5,0,0,9318,0,0,"082L018","082L018","00296","00296","15BCC01029","15BCC01029","55","55","CW","FDI",0,304,68,0,54,8.15,"OKI049PC",1309,0,0,0,0,50,"04/09/04 00:00:00","TDG","ANS",,,9319,"Y","N","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/28/02 00:00:00",,,,,"T DEGRACE",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0050-TO1","0050","TO1","112","0","G","ICH","mw","2",,"V",9,4,4,"023",,,,"082L038",105,"TP050",,,,,,,,,,233,18,19.3,0,0,10,189,6.95,"082L038","082L038","00105","00105","BCC01021","BCC01021","206","206","CW","CW",0,225,25.6,0,25.6,2.42,"IPC050",,0,0,54,3,50,"04/09/04 00:00:00","BDK","MTC",,,2870,"Y","N","Y","Y","Y","N","N","N","Y","-",0,,,,,,,,,,,"04/09/04 00:00:00","05/24/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"N","N","N",,,,,"0221"
"0221-0067-TO1","0067","TO1","112","0","G","ICH","mw","2",,"V",12,3,3,"023",10,5584836,369506,"082L046",442,"OKI067TP",10,5584750,369576,947,,"OKI067AP",5585357,369630,763,319,105,19.3,0,0,4244,0,0,"082L046","082L046","00442","00442","15BCC01021","15BCC01021","215","215","AT","CW",0,211,32.9,0,26.1,2.75,"OKI067PC",922,0,0,0,0,50,"04/09/04 00:00:00","SRM","TJL",,,4245,"Y","N","Y","Y","N","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/25/02 00:00:00",,,,,"SCOTT MACKINNON",,,"TYSEN LEBLANC",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0068-TO1","0068","TO1","187","0","D","IDF","mw","1",,"V",9,7,7,"023",11,5522354,348400,"082E085",238,,,,,,,"S052716A",5522369,348740,1017,79,75,19.5,0,0,8956,,,"082E085","082E085","00472","00238","15BCC01031","15BCC01031","85","85","SX","SX",0,354,48.6,0,33.7,0.58,"S052718A",1130,0,0,349,8,50,"04/09/04 00:00:00","GFS","SJW",,,4371,"Y","Y","Y","N","N","N","N","N","N","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/27/02 00:00:00",,,,,"GARRET STONE",,,,,,,,,,,,,,,,,,,"0221"
"0221-0069-TO1","0069","TO1","181","0","D","IDF","dk","1",,"V",9,9,9,"023",11,5477683,292295,"082E041",333,"S052615A",11,5478158,292097,1312,,,,,,156,490,19.5,0,0,8957,202,14.1,"082E041","082E041","00348","00333","15BCC01028","15BCC01028","44","44","FDI","SX",0,73,53.7,0,52.5,5,"S052618A",1418,0,0,,,50,"04/09/04 00:00:00","GFS","SJW",,,8952,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/26/02 00:00:00",,,,,"GARRET STONE",,,,,,,,,,,,,,,,,,,"0221"
"0221-0070-TO1","0070","TO1","187","0","D","IDF","dm","1",,"V",5,7,7,"023",11,5514901,315953,"082E073",168,"W061116A",11,5515002,316305,874,,,,,,255,365,19.5,0,0,6509,,,"082E073","082E073","00178","00168","15BCC01031","15BCC01031","200","200","FDI","FDI",0,266,48.1,0,11,0.6,"W061118A",954,234,1.97,,,50,"04/09/04 00:00:00","WAM","AWI",,,6528,"Y","Y","N","N","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","06/11/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,,,,,,,,,,,,,,"0221"
"0221-0071-TO1","0071","TO1","261","0","D","IDF","dk","1",,"V",16,9,9,"023",10,5588500,306424,"082L042",322,"OKI071TP",10,5588523,306442,1366,,"OKI071AP",5588207,306504,1320,219,30,19.3,0,0,9240,0,0,"082L042","082L042","00322","00322","15BCC01023","15BCC01023","82","82","SXW","PLI",0,135,20.8,0,28.5,2.16,"OKI071PC",1368,0,0,0,0,50,"04/09/04 00:00:00","SRM","TJL",,,9241,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/23/02 00:00:00",,,,,"SCOTT MACKINNON",,,"TYSEN LEBLANC",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0072-TO1","0072","TO1","181","0","D","IDF","dk","1",,"V",9,4,4,"023",10,5449044,707955,"092H020",78,"TP072",10,5449066,707970,1554,,"NO DATA",,,,191,35,19.3,0,0,9386,250,7.5,"092H020","092H020","00078","00078","15BCC01033","15BCC01033","95","95","FD","FD",0,18,85.90000000000001,0,20.5,0.72,"IPC0072",1538,0,0,0,0,50,"04/09/04 00:00:00","DLL","NWT",,,9207,"Y","Y","N","N","Y","N","N","N","Y","N",2,,,,,,,,,,,"04/09/04 00:00:00","07/05/02 00:00:00",,,,,"DERRICK LALONDE",,,"DERRICK LALONDE",,,"PLOT PIN",,,,,,"Y",,,,,,,"0221"
"0221-0073-TO1","0073","TO1","112","0","G","IDF","mw","1",,"V",12,9,9,"023",10,5562165,364021,"082L016",32,"OKI073TP",10,5562113,364010,1048,,"OKI073AP",,,,16,45,19.3,0,0,9248,0,0,"082L016","082L016","00032","00032","15BCC01029","15BCC01029","65","65","FDI","FDI",0,6,32.8,0,23.7,3.11,"OKI004PC",1040,0,0,0,0,50,"04/09/04 00:00:00","SRM","TJL",,,9249,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/27/02 00:00:00",,,,,"S MACKINNON",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0074-TO1","0074","TO1","181","0","D","IDF","dk","1",,"V",5,6,6,"023",,,,"082E022",181,"TP074",,,,,,,,,,184,18,19.5,0,0,388,0,0,"082E022","082E022","00181","00181","BCC01028","BCC01028","169","169","FDI","FDI",0,189,47.6,0,47.6,3.13,"IPC074",,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,2862,"Y","Y","N","Y","Y","N","N","N","Y","-",,,,,,,,,,,,"04/09/04 00:00:00","05/26/02 00:00:00",,,,,"BRAD KUMPULA",,,"BRAD KUMPULA",,,"ADDITIONAL","PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,"N","Y","N","Y",,,,"0221"
"0221-0075-TO1","0075","TO1","187","0","D","IDF","xh","1",,"V",5,9,9,"023",11,5439395,307124,"082E002",120,"TPO75",11,5439373,307136,1220,,,,,,225,22,19.3,158,0.88,10,0,0,"082E022","082E022","00120","00120","BCC01027","BCC01027","182","182","FDI","FDI",0,225,117.3,0,117.3,7,"IPC075",1218,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,2984,"Y","Y","Y","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","05/28/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0076-TO1","0076","TO1","187","0","D","IDF","xh","1",,"V",7,9,9,"023",11,5531508,316735,"082E093",186,"WO52619A",11,5531493,316729,699,,"W052618A",5532444,316648,585,30,25,19.5,0,0,4406,231,10,"082E093","082E093","00186","00186","15BCC01030","15BCC01030","224","224","FDI","FDI",0,210,44.6,0,44.6,10,"W052619B",710,273,3.56,,,50,"04/09/04 00:00:00","WAM","AWI",,,6530,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/26/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0077-TO1","0077","TO1","187","0","D","IDF","xh","1",,"V",5,6,6,"023",,,,"082E022",515,"TP077",,,,,,,,,,289,32,19.3,0,0,9239,0,0,"082E022","082E022","00515","00515","BCC01027","BCC01027","114","114","FDI","FDI",0,289,48.9,0,48.9,17,"IPC077",,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,2875,"Y","Y","Y","N","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","05/27/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0078-TO1","0078","TO1","187","0","D","IDF","dk","2",,"V",9,5,5,"023",11,5532778,313078,"082E092",328,"W052916A",11,5532837,313298,912,,,,,,253,225,19.5,0,0,6532,,,"082E092","082E092","00234","00328","15BCC01030","15BCC01030","225","225","FDI","PLI",0,234,40.3,0,20,1.95,"W052917A",858,0,0,,,50,"04/09/04 00:00:00","WAM","AWI",,,6496,"Y","N","N","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/29/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,,,,,,,,,,,,,,"0221"
"0221-0079-TO1","0079","TO1","187","0","D","IDF","dk","2",,"V",5,8,8,"023",11,5520152,294258,"082E071",81,"S052215A",11,5519993,294440,920,,,,,,310,250,19.5,0,0,4359,,,"082E071","082E071","00079","00081","15BCC01031","15BCC01031","134","134","PY","FDI",0,27,41.1,0,21.7,1.37,"S052216A",988,0,0,,,50,"04/09/04 00:00:00","SJW","GFS",,,4361,"Y","N","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/22/02 00:00:00",,,,,"SIMON WALTER",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0080-TO1","0080","TO1","187","0","D","IDF","xh","1",,"V",9,7,7,"023",11,5558068,336200,"082L014",210,"TP080",11,5557963,336125,1083,,,,,,43,110,23.3,0,0,2996,50,15,"082L014","082L014","00210","00210","BCC01029","BCC01029","112","112","FDI","FDI",125,68,24.5,9.65,17.7,2.64,"IPC080",1111,0,0,88,4.75,50,"04/09/04 00:00:00","BDK","DLL","VAS",,2856,"Y","N","Y","Y","Y","N","N","N","Y","-",,,,,,,,,,,,"04/09/04 00:00:00","05/22/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"N","N","N",,,,,"0221"
"0221-0081-TO1","0081","TO1","187","0","D","IDF","dk","2",,"V",7,9,9,"023",10,5509974,710716,"092H080",104,"S052817A",10,5509974,710651,1143,,"S052816A",5510262,710563,1111,101,71,19.5,0,0,4365,,,"092H080","092H080","00104","00104","15BCC01032","15BCC01032","10","10","PLI","PLI",0,48,19.1,0,15.1,1.23,"S052817B",1139,0,0,,,50,"04/09/04 00:00:00","GFS","SJW",,,4362,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/28/02 00:00:00",,,,,"GARRET STONE",,,,,,,,,,,,,,,,,,,"0221"
"0221-0082-TO1","0082","TO1","187","0","D","IDF","mw","1",,"V",7,6,6,"023",10,5588860,318662,"082L043",210,"OKI082TP",10,5588931,318527,1027,,,,,,113,147,19.3,0,0,9243,0,0,"082L043","082L043","00210","00210","15BCC01023","15BCC01023","078","087","FDI","FDI",207,245,57.7,14.85,20.6,1.04,"OKI082PC",1016,0,0,0,0,50,"04/09/04 00:00:00","TJL","SRM",,,9242,"Y","Y","Y","N","N","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/24/02 00:00:00",,,,,"TYSEN LEBLANC",,,"SCOTT MACKINNON",,,"PLOT PIN","RANDOM AZIMUTH","PLOT PIN",,,,"Y","Y","Y",,,,,"0221"
